old_id,old_title,old_web,old_image,old_source,old_city,coverage,match_status,match_score,new_id,new_title,new_web
525,Domain Names We will register your domain name for you. $25 per year (.com only) $44 per year (.com.au) For details call 02-9415-1998,,,D:\Projects\Clients\Dad\Events4singles\legacy\site\product.htm,,drop:no_contact_or_image,unmatched,0.35,,,
526,Tangomate,http://www.tangomate.com,/images/tangomate.gif,C:\Users\Matt\OneDrive\Cloud\1-Business\Dad Businesses (E4S - Afterwork)\e4s-25-10-16.txt#jos_content:478,,covered,matched_domain,1,466,Tangomate,tangomate.com
527,New Pioneers Social Club,http://newpioneerssocialclub.org.au/,/images/pioneersc_120x80.gif,C:\Users\Matt\OneDrive\Cloud\1-Business\Dad Businesses (E4S - Afterwork)\e4s-25-10-16.txt#jos_content:134,Melbourne,covered,matched_domain,1,302,New Pioneers Social Club,newpioneerssocialclub.org.au
528,Latino Fever School of Dance,http://www.latinofeverschool.com.au/,,C:\Users\Matt\OneDrive\Cloud\1-Business\Dad Businesses (E4S - Afterwork)\e4s-25-10-16.txt#jos_content:481,Sydney,covered,matched_domain,1,234,Latino Fever School of Dance Sydney,latinofeverschool.com.au
529,Furyus Feet Dance,http://www.furyusfeetdance.com/index.html,/images/furyfusfeet_120x80.jpg,C:\Users\Matt\OneDrive\Cloud\1-Business\Dad Businesses (E4S - Afterwork)\e4s-25-10-16.txt#jos_content:146,Cairns,covered,matched_title,1,528,Furyus Feet Dance,hotmail.com | furyusfeetdance.com
530,Lewis Fly,http://www.mosca.com.au,,C:\Users\Matt\OneDrive\Cloud\1-Business\Dad Businesses (E4S - Afterwork)\e4s-25-10-16.txt#jos_content:104,Melbourne,covered,matched_domain,1,241,Lewis Fly,mosca.com.au
531,Judith Ayre,http://www.judithayre.com.au/,/images/judithayre_120x80.gif,C:\Users\Matt\OneDrive\Cloud\1-Business\Dad Businesses (E4S - Afterwork)\e4s-25-10-16.txt#jos_content:101,Melbourne,covered,matched_title,1,601,Judith Ayre,
532,Experience the sounds,http://www.sydneysalsascene.com,/images/fiesta06_300x225.gif,D:\Projects\Clients\Dad\Events4singles\legacy\site\archivefile\whats_on\whatson_may06.htm,,possible_old_only,unmatched,0.516,,,
533,Byrnes Dance Image,http://www.danceimage.com.au/,/images/byrnes_96x120.jpg,C:\Users\Matt\OneDrive\Cloud\1-Business\Dad Businesses (E4S - Afterwork)\e4s-25-10-16.txt#jos_content:470,Sydney,covered,matched_title,1,71,Byrnes Dance Image,danceimage.com.au | danceimage.com.au/webpages/map.html
534,"Copacabana Bar, Restaurant & Entertainment",http://www.copacabanaint.com.au,/images/copacabana_170x79.jpg,C:\Users\Matt\OneDrive\Cloud\1-Business\Dad Businesses (E4S - Afterwork)\e4s-25-10-16.txt#jos_content:107,Melbourne,covered,matched_domain,1,100,"Copacabana Bar, Restaurant & Entertainment",copacabanaint.com.au
535,Omni1,http://www.omni1consulting.com,/images/omni_120x80.gif,C:\Users\Matt\OneDrive\Cloud\1-Business\Dad Businesses (E4S - Afterwork)\e4s-25-10-16.txt#jos_content:93,Hobart,covered,matched_domain,1,314,Omni1,omni1consulting.com
536,Australian Link Back Partners,http://www.eflame.com.au,/images/blink_banner_sml.gif,D:\Projects\Clients\Dad\Events4singles\legacy\site\archivefile\pages\link_backs_archjan06.htm,,covered,matched_domain,1,135,Eflame Online Dating,eflame.com.au
538,The Soul Centre Sydney,http://www.caterinaligato.com/,/images/clip_image008.jpg,C:\Users\Matt\OneDrive\Cloud\1-Business\Dad Businesses (E4S - Afterwork)\e4s-25-10-16.txt#jos_content:106,Sydney,covered,matched_domain,1,490,The Soul Centre Sydney,caterinaligato.com
539,Dining Activity Network,http://www.danwk.com,/images/daanlogo_100x100.jpg,D:\Projects\Clients\Dad\Events4singles\legacy\site\images\dinner_parties_melbourne.htm,Melbourne,possible_old_only,unmatched,0.636,,,
